@relation Training1

@attribute snake_x numeric
@attribute snake_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute length numeric
@attribute delta_x numeric
@attribute delta_y numeric
@attribute distance_to_fruit numeric
@attribute isSafeUp {True,False}
@attribute isSafeDown {True,False}
@attribute isSafeLeft {True,False}
@attribute isSafeRight {True,False}
@attribute direction {0,1,2,3}

@data
350,210,40,200,15,-310,-10,310.16124838541646,True,False,True,False,0
350,200,40,200,15,-310,0,310.0,True,False,True,True,0
340,200,40,200,15,-300,0,300.0,True,True,True,False,2
330,200,40,200,15,-290,0,290.0,True,True,True,False,2
320,200,40,200,15,-280,0,280.0,True,True,True,False,2
310,200,40,200,15,-270,0,270.0,True,True,True,False,2
300,200,40,200,15,-260,0,260.0,True,True,True,False,2
290,200,40,200,15,-250,0,250.0,True,True,True,False,2
280,200,40,200,15,-240,0,240.0,True,True,True,False,2
270,200,40,200,15,-230,0,230.0,True,True,True,False,2
260,200,40,200,15,-220,0,220.0,True,True,True,False,2
250,200,40,200,15,-210,0,210.0,True,True,True,False,2
240,200,40,200,15,-200,0,200.0,True,True,True,False,2
230,200,40,200,15,-190,0,190.0,True,True,True,False,2
220,200,40,200,15,-180,0,180.0,True,True,True,False,2
210,200,40,200,15,-170,0,170.0,True,True,True,False,2
200,200,40,200,15,-160,0,160.0,True,True,True,False,2
190,200,40,200,15,-150,0,150.0,True,True,True,False,2
180,200,40,200,15,-140,0,140.0,True,True,True,False,2
170,200,40,200,15,-130,0,130.0,True,True,True,False,2
160,200,40,200,15,-120,0,120.0,True,True,True,False,2
150,200,40,200,15,-110,0,110.0,True,True,True,False,2
140,200,40,200,15,-100,0,100.0,True,True,True,False,2
130,200,40,200,15,-90,0,90.0,True,True,True,False,2
120,200,40,200,15,-80,0,80.0,True,True,True,False,2
110,200,40,200,15,-70,0,70.0,True,True,True,False,2
100,200,40,200,15,-60,0,60.0,True,True,True,False,2
90,200,40,200,15,-50,0,50.0,True,True,True,False,2
80,200,40,200,15,-40,0,40.0,True,True,True,False,2
70,200,40,200,15,-30,0,30.0,True,True,True,False,2
60,200,40,200,15,-20,0,20.0,True,True,True,False,2
50,200,40,200,15,-10,0,10.0,True,True,True,False,2
40,200,110,130,16,70,-70,98.99494936611666,True,True,True,False,2
40,190,110,130,16,70,-60,92.19544457292888,True,False,True,True,0
40,180,110,130,16,70,-50,86.02325267042627,True,False,True,True,0
40,170,110,130,16,70,-40,80.62257748298549,True,False,True,True,0
40,160,110,130,16,70,-30,76.15773105863909,True,False,True,True,0
40,150,110,130,16,70,-20,72.80109889280519,True,False,True,True,0
40,140,110,130,16,70,-10,70.71067811865476,True,False,True,True,0
40,130,110,130,16,70,0,70.0,True,False,True,True,0
50,130,110,130,16,60,0,60.0,True,True,False,True,3
60,130,110,130,16,50,0,50.0,True,True,False,True,3
70,130,110,130,16,40,0,40.0,True,True,False,True,3
80,130,110,130,16,30,0,30.0,True,True,False,True,3
90,130,110,130,16,20,0,20.0,True,True,False,True,3
100,130,110,130,16,10,0,10.0,True,True,False,True,3
110,130,400,230,17,290,100,306.75723300355935,True,True,False,True,3
110,140,400,230,17,290,90,303.6445290137795,False,True,True,True,1
110,150,400,230,17,290,80,300.83217912982644,False,True,True,True,1
110,160,400,230,17,290,70,298.328677803526,False,True,True,True,1
110,170,400,230,17,290,60,296.1418578992169,False,True,True,True,1
110,180,400,230,17,290,50,294.27877939124323,False,True,True,True,1
110,190,400,230,17,290,40,292.7456233660889,False,True,True,True,1
110,200,400,230,17,290,30,291.547594742265,False,True,True,True,1
110,210,400,230,17,290,20,290.68883707497264,False,True,True,True,1
110,220,400,230,17,290,10,290.17236257093816,False,True,True,True,1
110,230,400,230,17,290,0,290.0,False,True,True,True,1
120,230,400,230,17,280,0,280.0,True,True,False,True,3
130,230,400,230,17,270,0,270.0,True,True,False,True,3
140,230,400,230,17,260,0,260.0,True,True,False,True,3
150,230,400,230,17,250,0,250.0,True,True,False,True,3
160,230,400,230,17,240,0,240.0,True,True,False,True,3
170,230,400,230,17,230,0,230.0,True,True,False,True,3
180,230,400,230,17,220,0,220.0,True,True,False,True,3
